magic,control,drop_0.8,drop_0.9,drop_0.95,drop_0.99,flip_0.9,flip_0.95,drop_0.9_r2,drop_0.9_reg0.05,drop_0.9_reg0.3,raw_control,raw_drop_0.9
255,0.9521679389312978,0.9540916030534352,0.9540763358778626,0.9540305343511452,0.9538015267175574,0.955145038167939,0.9551908396946565,0.9541984732824428,0.9533282442748092,0.9549770992366413,0.9459694656488549,0.945969465648855
256,0.9332875457875458,0.9216117216117217,0.9222527472527473,0.9220085470085471,0.9221306471306472,0.9220848595848596,0.9217643467643468,0.9231684981684981,0.9214896214896215,0.9240231990231991,0.9254578754578755,0.9237026862026863
257,0.9351649020323719,0.9356821224291104,0.93578860898138,0.9355756358768408,0.9354387245953512,0.9348758671047829,0.9346020445418035,0.9359863697213094,0.9339174881343556,0.9364275282949982,0.9414171838870634,0.9426493854204697
258,0.9503906488433133,0.9533586644692671,0.9533739241897089,0.9531908075444058,0.9532823658670573,0.9549380455350058,0.9545870719648417,0.9534197033510345,0.9529085027162303,0.9540835011902582,0.9522828541781114,0.9535646706952328
259,0.9676488549618321,0.9663435114503817,0.9668396946564884,0.9667786259541985,0.966946564885496,0.9662900763358779,0.9663053435114504,0.9664198473282444,0.9671374045801526,0.9693893129770991,0.9497404580152672,0.9484274809160306
260,0.9447250751598578,0.9445800967540098,0.944595357638836,0.9448090100264014,0.9449616188746623,0.9429013994231386,0.9433592259679217,0.9446258794084881,0.9455873151525326,0.9441146397668136,0.9387428083080257,0.9375524592915897
261,0.9461822509765625,0.9485015869140625,0.9488067626953125,0.94891357421875,0.9491119384765625,0.9482421875,0.9485931396484375,0.9488677978515625,0.9486236572265625,0.947845458984375,0.9308013916015625,0.9334259033203125
262,0.9596273291925466,0.9600622644100905,0.9598333511376989,0.9601996123735254,0.960443786530743,0.9588871762784806,0.9593144810536115,0.9597875684832207,0.9600470035252645,0.9601996123735255,0.951012559708212,0.9459154241762938
263,0.9540595843449845,0.9561516026081512,0.9560599813703483,0.9557545772443385,0.9549757967230137,0.9569380182326264,0.9566326141066166,0.9557774825537892,0.9551895796112206,0.9577778795791532,0.9446455021607342,0.9471650862003145
264,0.9451107855704084,0.9451565647317342,0.9452328633339439,0.9451107855704083,0.9450955258499664,0.9455914667643288,0.9452252334737228,0.9450955258499665,0.9449124092046636,0.9414637123847892,0.9325672953671489,0.936809497650003
265,0.9569338032485444,0.9610787618755745,0.9613392583512105,0.961032791909286,0.9610174685871897,0.959975482684646,0.9604045357033404,0.9614005516395955,0.9611400551639595,0.9636224333435489,0.9411431198283788,0.9444223107569722
266,0.9482224359267909,0.9494741341148814,0.9496267802353803,0.9493825464425821,0.9493062233823328,0.9500389247607273,0.9496573094594802,0.9491841064859337,0.9496115156233305,0.9496420448474303,0.9412465082199937,0.9457648333867595
267,0.943249099676494,0.9459042910333882,0.9459958493560399,0.9460721479582495,0.9460874076786913,0.9451870841726179,0.9452481230543857,0.9466672770554844,0.9457822132698528,0.9466520173350423,0.9378471586400539,0.9406702069218092
268,0.944258793011368,0.9452048523689631,0.9443503471427481,0.9449454489967193,0.9449149309529259,0.9431601434348058,0.9440756847486077,0.9446402685587852,0.9456778820477607,0.9439383535515373,0.919020370794232,0.9239642938887618
269,0.9453574425879301,0.9457007705806058,0.9461738002594033,0.9468528267338063,0.9464103150988021,0.9471274891279469,0.9479362172884718,0.9464637216754406,0.9469062333104448,0.9440604257267109,0.934401464866102,0.9387731746395056
270,0.9330805759803923,0.9486213235294119,0.9471354166666666,0.9471507352941178,0.9459558823529411,0.945749080882353,0.945626531862745,0.9480392156862745,0.9474800857843138,0.9475337009803921,0.9389859068627451,0.9428538602941176
271,0.9559283088235295,0.9561810661764706,0.9559742647058824,0.9570389093137256,0.9571461397058824,0.954312193627451,0.9555606617647059,0.955935968137255,0.9550245098039216,0.9549325980392157,0.9360906862745098,0.9324754901960786
272,0.9524575596004168,0.9496920389777532,0.9497686461972177,0.949370288656003,0.949967824967825,0.9499831464117178,0.9495541459827174,0.950511736226022,0.949423913709628,0.9510173438744868,0.9409358337929766,0.9423147637433351
273,0.930903453307393,0.9322866001945526,0.9323169990272373,0.9322106031128404,0.9315722276264591,0.930462670233463,0.9305690661478601,0.9323017996108949,0.9337761429961089,0.9296419017509727,0.9158712305447472,0.920324659533074
274,0.9480711713361412,0.948895196240005,0.9489104559604469,0.9490020142830983,0.9498107794665201,0.9479490935726058,0.9481779893792346,0.9488188976377951,0.9495208447781237,0.9483763657449796,0.9488494170786791,0.9510925959836416
275,0.9417582417582417,0.9405982905982906,0.940636446886447,0.9411401098901099,0.9412393162393162,0.9400869963369963,0.9411935286935287,0.9448489010989012,0.9405830280830281,0.9408119658119658,0.9364163614163614,0.9398351648351647
276,0.9343945751991729,0.9373441586085264,0.9377090555251475,0.9376026272577996,0.9367207930426322,0.9366447728516695,0.9359757951711974,0.9388797664659733,0.9375874232196072,0.9374809949522593,0.9266557197591682,0.9282673478075777
277,0.9404761904761905,0.9425976800976801,0.9428113553113553,0.9421855921855923,0.9417124542124541,0.9418192918192917,0.9414529914529914,0.9431776556776557,0.9426282051282051,0.9428876678876679,0.9290445665445666,0.9331807081807082
278,0.9615713391644151,0.9615026484101905,0.9618232052632383,0.96159423608249,0.9612126207812429,0.9618995283234877,0.9615637068583902,0.9618689990993878,0.9611210331089435,0.9625864358657324,0.9539619300575476,0.9547862191082412
279,0.9595835233318134,0.9579875360997112,0.9579571363429092,0.9576683386532909,0.9574707402340781,0.9581623347013224,0.9575239398084815,0.9577291381668946,0.9575999392004864,0.9590363277093783,0.9546131630946952,0.9533819729442164
280,0.9449863381722153,0.9418265634778892,0.9417960342537895,0.9414144189525424,0.9416433881332906,0.9404603806994246,0.9399719131138281,0.9422692372273359,0.9402237792126514,0.9426661171406329,0.9372777090870236,0.9355528079253866
281,0.9594262607766842,0.9620965896086061,0.9620813305867093,0.9621118486305027,0.9621271076523995,0.9619745174334325,0.9618677042801556,0.9621423666742962,0.9613641565575646,0.9629510948348211,0.9476005188067445,0.9472343022812237
282,0.9473644212062257,0.9526690175097277,0.9528970087548639,0.9525930204280155,0.9530946011673153,0.9531705982490273,0.9525474221789885,0.9531705982490273,0.9528362110894942,0.9535201848249026,0.9436861624513619,0.9478356031128405
283,0.951779283403528,0.9448971494842215,0.9447140328389184,0.944607214795825,0.9443630592687543,0.9441952023438931,0.9441952023438931,0.9452023438930599,0.9443477995483123,0.9458432521516207,0.9411432582555088,0.9398919611792712
284,0.9483419048636439,0.9499137760007326,0.9500358630793413,0.9500969066186458,0.9500816457338195,0.9501274283882979,0.9502647763517329,0.9501579501579502,0.9508599508599508,0.9500358630793413,0.945533902055641,0.945961206830772
285,0.9517450821798648,0.9479374914157523,0.9479222305309262,0.9483037526515788,0.9480824698216003,0.9477696216826652,0.9482274482274483,0.9480595784943612,0.9475025561982083,0.9497764280372977,0.935354891876631,0.9341187602057166
286,0.9541298407900964,0.955503655874586,0.9557020958312346,0.9557936835035338,0.9554578620384363,0.9555647143227854,0.9556868312191846,0.9555189204866359,0.9562821510891302,0.9545725145395431,0.9509395368716704,0.9511074476042192
287,0.9376945614356345,0.9412805957394861,0.9405328694378319,0.9417689067936276,0.941295855459928,0.9410364402124153,0.9412042971372764,0.9392357932002686,0.9407541353842398,0.9398767014588292,0.9264176280290546,0.9303088567417443
288,0.9500291062838934,0.9457091209902264,0.9460001838291614,0.9460767793130918,0.9462912466680965,0.9450503998284262,0.945295505377003,0.9453414626673613,0.9458776310548731,0.9455406109255798,0.9425840252458716,0.9431048745365973
289,0.9592830882352941,0.9599034926470588,0.9599800857843137,0.9589460784313726,0.9589154411764705,0.9601485906862745,0.9602481617647057,0.9600260416666666,0.9619178921568626,0.9598651960784315,0.9357383578431372,0.9380055147058823
290,0.9460568882378074,0.9490172740035403,0.949124092046634,0.9491393517670756,0.9490172740035402,0.9487883781969114,0.9488799365195629,0.9493072086919369,0.949429286455472,0.9511231154245255,0.9506805835317098,0.9512146737471769
291,0.9481282524760787,0.9480824698216003,0.9485708181360355,0.9484487310574268,0.9483571657484703,0.947899339203687,0.9477772521250782,0.9480824698216002,0.9487997314084271,0.9477925130099044,0.9326842370320632,0.9324400628748454
292,0.9541349954393433,0.9578215262997871,0.9576695044086347,0.9574946792338097,0.9574414715719064,0.9582851930678018,0.9567041653998175,0.9559212526603832,0.9573730617208879,0.9577379142596535,0.9468227424749165,0.9528884159318943
293,0.94601593625498,0.9500766166104812,0.949662886913883,0.9495709469813055,0.9491112473184187,0.9519460619062213,0.9512718357339871,0.9505822862396568,0.9499080600674227,0.9513178057002759,0.9522372050260497,0.9555317192767393
294,0.9515629056148548,0.9533037091331104,0.9532426283079084,0.9538152610441766,0.9533113442362606,0.9537160047032237,0.9535938430528196,0.9531968176890069,0.952631820055889,0.949913723334402,0.9282147601814101,0.9324598775329455
295,0.962476347433315,0.9645974485747422,0.9645821888543001,0.9642617347250199,0.9642159555636939,0.9649102728438015,0.9646661173167308,0.9647805652200452,0.964055728499054,0.9654977720808154,0.9487731184764694,0.9506805835317097
296,0.9675948443579765,0.9672148589494164,0.9675036478599222,0.9676556420233463,0.9669108706225681,0.9680204280155642,0.9684004134241246,0.967017266536965,0.9678836332684824,0.966318093385214,0.9578216196498055,0.9578216196498055
297,0.95458984375,0.956878662109375,0.9570465087890625,0.9570770263671875,0.9571685791015625,0.9566802978515625,0.956817626953125,0.956939697265625,0.9570159912109375,0.95550537109375,0.9330291748046875,0.93768310546875
298,0.9446598222494637,0.9422004290530187,0.9421238124425376,0.9424149555623659,0.9423996322402697,0.9415262028807846,0.9418633159669016,0.9424302788844622,0.9426141587496168,0.941893962611094,0.9461538461538461,0.9460619062212688
299,0.9438977283178517,0.9455838621662221,0.9457831325301206,0.9456298476348141,0.9452772923756093,0.9460283883626108,0.94553787669763,0.9458444464882431,0.9455685336766914,0.9461203592997947,0.9327385879395443,0.9372758208406142
300,0.9535903930664062,0.9545516967773438,0.95452880859375,0.9542617797851562,0.9542083740234375,0.9539337158203125,0.953765869140625,0.9542694091796875,0.95465087890625,0.9553680419921875,0.9494781494140625,0.947174072265625
301,0.9372634887695312,0.9393768310546875,0.939453125,0.9397125244140625,0.9393463134765625,0.9399566650390625,0.9398345947265625,0.939849853515625,0.939483642578125,0.9381561279296875,0.915313720703125,0.9147491455078125
302,0.9696345464255741,0.9697108415350576,0.9701380941481651,0.9700007629510948,0.9703669794766157,0.9692072938124666,0.9688258182650492,0.968184939345388,0.9696498054474708,0.9704280155642023,0.94360265506981,0.9429770351720456
303,0.9541298407900964,0.9503518493077497,0.9503365846956999,0.9501381447390514,0.9503060554716002,0.9509548014837204,0.9506953030788723,0.9507487292210469,0.9488330204087863,0.9528323487658561,0.9537634901008991,0.955228892857688
304,0.9623695293902217,0.9647195263382776,0.9650018311664531,0.9651086492095465,0.9651162790697675,0.9659021546725265,0.9659021546725263,0.9651696880913142,0.9651086492095465,0.9655282915216994,0.9495208447781237,0.9536714887383264
305,0.943607128132301,0.9451494189686503,0.9449509062867439,0.9450577977308474,0.9450883381434484,0.9434696962755966,0.9439736130835127,0.9445996915418328,0.9450577977308474,0.9446607723670347,0.9323682562951425,0.9348725701284225
306,0.9611247318418633,0.960304934109715,0.9603279190928593,0.9604964756359179,0.9595847379711923,0.9604275206864848,0.9604888139748697,0.9607110021452651,0.9601440392277046,0.9603432424149556,0.9435335580753907,0.9461998161201348
307,0.9672898616811065,0.9702842377260982,0.9697066423468613,0.9694482444140448,0.9694178446572428,0.9697370421036632,0.9696154430764554,0.9698586411308711,0.9699042407660738,0.9689010487916097,0.9427876576987384,0.9456604347165222
308,0.9399862668802931,0.9382467383840696,0.938124666208896,0.9378194857709621,0.9380025940337224,0.9371099412527657,0.9369115739681086,0.9378805218585489,0.9376821545738918,0.93847562371252,0.9313649195086595,0.9318684672312505
309,0.9431601434348058,0.9436865796902418,0.9439612420843824,0.9438544289311056,0.9444724193179217,0.9435797665369651,0.9436102845807585,0.9449607080186161,0.9440375371938658,0.9429312581063554,0.9249561303120469,0.9246967269398032
310,0.9464841604101812,0.9444393578709638,0.9446529939571507,0.9446835133980345,0.9447598120002442,0.9443783189891961,0.9444088384300799,0.9444240981505219,0.9441494231825674,0.9441646829030091,0.9393883904046879,0.9404260513947383
311,0.956984344125247,0.9564067487460101,0.9564447484420124,0.9565815473476212,0.9560039519683843,0.9569767441860466,0.956984344125247,0.9560647514819882,0.9558139534883722,0.9582611339109287,0.9516339869281045,0.950326797385621
312,0.9626108321760495,0.9623208753643535,0.9623361362491798,0.9622903535947015,0.9623513971340057,0.9633433546477024,0.9632670502235718,0.9623513971340059,0.9625116364246799,0.9617562226257879,0.9503868634303417,0.9529964747356051
313,0.950637064164187,0.9512626840619517,0.9512169069962615,0.9509575036240177,0.9522240024414435,0.9521324483100634,0.9517662317845427,0.9513694972152285,0.951949340047303,0.9493553063248645,0.9400167849240862,0.9406271457999542
314,0.9534912221575417,0.9551227059652562,0.9551839823524005,0.9554290879009774,0.9553831306106191,0.9550384509329329,0.9553601519654401,0.9552452587395448,0.955337173320261,0.9557124911915195,0.9454333772480774,0.9494469806060234
315,0.9701686121919585,0.9716639963378347,0.9718471046005951,0.9718165865568017,0.9716029602502481,0.9712672617685205,0.9711757076371405,0.9720607309071488,0.9711833371480889,0.9706416418707561,0.9456778820477607,0.944258793011368
316,0.9539541984732824,0.960381679389313,0.9601221374045801,0.9601374045801527,0.9601068702290075,0.9607557251908396,0.960496183206107,0.9605725190839695,0.9605725190839695,0.9578778625954198,0.9441984732824427,0.9485801526717557
317,0.9214429591649881,0.9235259110053106,0.9242431178660806,0.9242583775865226,0.9237776963926021,0.9232436061771347,0.9254257462003296,0.9235564304461944,0.9237166575108344,0.9309192455594213,0.9175822498931819,0.9253036684367942
318,0.9599609375,0.9619827270507812,0.9624557495117188,0.9624862670898438,0.9624786376953125,0.9625015258789062,0.9624252319335938,0.9623031616210938,0.9628982543945312,0.9622344970703125,0.949310302734375,0.947509765625
319,0.9588845654993514,0.9619439993896391,0.9618371862363622,0.9620202944991226,0.9618829633020524,0.9617303730830854,0.9621881437399862,0.9615930418860151,0.9622415503166246,0.963408865491722,0.9586633096818493,0.9589227130540933
320,0.9455956965584694,0.9428449171709763,0.9430588666788924,0.9431658414328504,0.942264197078061,0.9425698392322269,0.9427990708478514,0.9433645088330582,0.9443578458340975,0.9435937404486827,0.9316736964362123,0.9308637447276729
321,0.933572325887796,0.9389036982565799,0.9385819775101878,0.9385053773324753,0.9373716947023317,0.9382449367282533,0.9387964580077824,0.93890369825658,0.9399761007445537,0.936712933174005,0.927505591812973,0.9339553267763581
322,0.9535866910866911,0.951984126984127,0.9519688644688645,0.9519078144078144,0.9522893772893772,0.9522130647130647,0.9518620268620268,0.9518925518925517,0.9519230769230769,0.9490689865689866,0.9452533577533577,0.9454670329670329
323,0.953049002918288,0.9486563715953307,0.9485955739299612,0.9487171692607004,0.9479419990272373,0.949142752918288,0.9491883511673151,0.9483067850194551,0.948739968385214,0.9501915126459144,0.9563472762645914,0.9568032587548638
324,0.9401361167063419,0.9446682536775926,0.9452328633339437,0.9450497466886406,0.944775071720686,0.9450344869681987,0.9444698773118476,0.9454770188610144,0.9457516938289692,0.9445461759140573,0.9225111395959225,0.9304614539461638
325,0.9524078369140625,0.9598617553710938,0.9599227905273438,0.9598617553710938,0.9597702026367188,0.9598007202148438,0.9597091674804688,0.9599380493164062,0.96014404296875,0.958343505859375,0.93878173828125,0.94091796875
326,0.9407644769970245,0.9426642252231632,0.942420080872816,0.9423437857633326,0.941870756084535,0.942572671091783,0.9422522316319524,0.942420080872816,0.9426260776684214,0.9400625619897763,0.9221332112611581,0.9231860837720303
327,0.949920654296875,0.951202392578125,0.951263427734375,0.9513397216796875,0.95147705078125,0.950775146484375,0.9511260986328125,0.9511260986328125,0.9519500732421875,0.9512176513671875,0.947113037109375,0.948333740234375
328,0.9326966941394726,0.9390073294607829,0.938992123110611,0.9392962501140477,0.9388248532587209,0.9392810437638758,0.9399653295216082,0.9390681548614702,0.9387032024573463,0.9398740914205773,0.9281804081384387,0.9328943766917065
329,0.9517094017094018,0.9497100122100122,0.9497100122100122,0.9497100122100122,0.9481532356532356,0.9499236874236875,0.9499236874236875,0.9497100122100122,0.9523504273504273,0.9524725274725275,0.9416208791208791,0.9410256410256411
330,0.9353848971928378,0.940147456152402,0.9399642808078034,0.9399490161957534,0.939887957747554,0.9401016623162523,0.9401932499885515,0.9399490161957534,0.9399108546656285,0.9401779853765017,0.9397047824029552,0.9436888461479752
331,0.9614099336232547,0.9610742351415275,0.960891126878767,0.9610131990539406,0.960494392309453,0.9618829633020524,0.9619134813458458,0.9609826810101473,0.9611200122072175,0.9612573434042878,0.944258793011368,0.948226138704509
332,0.9528322041140207,0.9564487578587559,0.9563571995361044,0.955670512116218,0.9555636940731246,0.9570896661173166,0.9568760300311299,0.9569065494720136,0.9566166147836171,0.9559757065250565,0.9436611121284257,0.9476133797228835
333,0.9319389312977099,0.9282595419847328,0.9280763358778626,0.9272061068702291,0.9270534351145038,0.9291603053435114,0.9282900763358778,0.9289160305343512,0.9282595419847328,0.9285190839694657,0.9257709923664122,0.9302442748091603
334,0.9576771653543307,0.9586232680217298,0.9586843069034976,0.9586385277421717,0.9582265152902399,0.9585774888604042,0.9587758652261491,0.9588521638283587,0.9582417750106818,0.9581731062686932,0.9469877311847646,0.9488188976377953
335,0.9458457312886244,0.9439765011062791,0.9438391699092088,0.9442664225223163,0.9444495307850767,0.9426947432669566,0.9430380712596322,0.9438315403982604,0.9429617761501488,0.9470054169527733,0.939635309376669,0.9407186999313345
336,0.934459500701947,0.93543612281023,0.9357718366599524,0.9352987853262529,0.9365958615638161,0.9347341756699017,0.9342153451748763,0.9356039797350911,0.9355582005737655,0.9359091741439297,0.926326069706403,0.9309345052798632
337,0.9443198290989547,0.9448920424200808,0.944983596551461,0.9452582589456016,0.9453955901426718,0.9450141145952545,0.9452735179674983,0.944892042420081,0.9449912260624094,0.9444724193179217,0.9146868085755704,0.9227740901808195
338,0.951293202105745,0.9507133592736705,0.9510337987335011,0.9511100938429846,0.9505760280766002,0.9514305333028152,0.9512321660181583,0.9504692149233234,0.9506218051422903,0.9510795757991913,0.9463797970550087,0.9474021515220874
