magic,baseline_final,baseline_level1,no_pseudo_final,no_pseudo_level1,p09_final,p09_level1,p099_final,p099_level1
42,0.9413066369588109,0.9428479863262471,0.9413066369588109,0.9428479863262471,0.9429700734048561,0.9422985944725075,0.9421612465090726,0.9424206815511164
43,0.9474468538061495,0.9456068854353578,0.9474468538061495,0.9456068854353578,0.9500927587360481,0.9435540281621605,0.9438277424652535,0.9433867583102703
44,0.9551603587171302,0.9544155646754825,0.9551603587171302,0.9544155646754825,0.9595227238182094,0.9584739322085424,0.9561331509347926,0.9558443532451742
45,0.9506958432521516,0.9518098028444119,0.9506958432521516,0.9518098028444119,0.952389672221205,0.9534273332112555,0.9523591527803211,0.9520692180919246
46,0.9629737430681087,0.9682281932657251,0.9629737430681087,0.9682281932657251,0.9654707558442355,0.9680137259107203,0.9669720273292688,0.9659916051349612
47,0.9592718061405117,0.9609503753891229,0.9592718061405117,0.9609503753891229,0.9592718061405116,0.9604773240554233,0.9604468046145394,0.9604620643349813
48,0.9484477835295556,0.9443859086536258,0.9484477835295556,0.9443859086536258,0.9449050956678425,0.9398964680012828,0.9435460473070991,0.9423397010093607
49,0.951455269607843,0.9493719362745097,0.951455269607843,0.9493719362745097,0.9512867647058825,0.9491881127450981,0.9497855392156862,0.9496629901960785
50,0.9473901098901099,0.9425213675213675,0.9473901098901099,0.9425213675213675,0.9490689865689865,0.9455738705738705,0.9436050061050061,0.9436660561660561
51,0.9338226318359375,0.9300689697265625,0.9338226318359375,0.9300689697265625,0.93011474609375,0.929473876953125,0.9301910400390625,0.9304046630859375
52,0.9573974609375,0.9574127197265625,0.9573974609375,0.9574127197265625,0.957427978515625,0.9595184326171875,0.9575347900390625,0.958160400390625
53,0.9525444419012741,0.9519188220035095,0.9525444419012741,0.9519188220035095,0.9535362783245593,0.9518120088502328,0.9520714122224766,0.9518883039597162
54,0.9364143304560385,0.937025437323352,0.9364143304560385,0.937025437323352,0.941012909632572,0.9391643113589488,0.9359254449621879,0.9361393323657474
55,0.9675585284280938,0.9641684402553967,0.9675585284280938,0.9641684402553967,0.967710550319246,0.9634843417452114,0.9638491942839769,0.9637579811492853
56,0.948467924067631,0.9488494170786791,0.948467924067631,0.9488494170786791,0.9513214917902704,0.951016297381432,0.9492919489714949,0.9492461698101691
57,0.9642895295069208,0.9660903139164008,0.9642895295069208,0.9660903139164008,0.9644879210096602,0.9655409220626612,0.9643200512765729,0.9649304866696171
58,0.9458152132448311,0.9458915083543145,0.9458152132448311,0.9458915083543145,0.9472953383688105,0.9464713511863889,0.9461814297703517,0.9462424658579385
59,0.9533836881055924,0.9480430304417488,0.9533836881055924,0.9480430304417488,0.9504997329671169,0.9483024338139925,0.9494621194781415,0.9494926375219348
60,0.960171568627451,0.958777573529412,0.960171568627451,0.958777573529412,0.959298406862745,0.9603553921568628,0.9591299019607842,0.9595588235294118
61,0.9437374107306354,0.9421961789660013,0.9437374107306354,0.9421961789660013,0.9418604651162791,0.9427150094610267,0.9428676066654459,0.9422419581273271
62,0.961852445258259,0.9589379720759899,0.961852445258259,0.9589379720759899,0.9555504692149233,0.9551995117112992,0.958281834134432,0.958281834134432
63,0.9518213866039952,0.9529049094266485,0.9518213866039952,0.9529049094266485,0.9512719947502555,0.9484639919422527,0.9534543012803884,0.9529201703114747
64,0.9485046270760557,0.9471103756818043,0.9485046270760557,0.9471103756818043,0.9442146227860513,0.9457467671753387,0.9468192682478396,0.9472176257890543
65,0.9242660074467436,0.9235182811450894,0.9242660074467436,0.9235182811450894,0.9242812671671854,0.9250137337483977,0.9227552951229934,0.9227247756821095
66,0.9750423592984384,0.9741570117995452,0.9750423592984384,0.9741570117995452,0.9754087099876357,0.9739891010669964,0.9737906611103478,0.9742485994718445
67,0.9477140077821012,0.9496899319066148,0.9477140077821012,0.9496899319066148,0.9464220573929961,0.9447805204280155,0.9482155885214009,0.94833718385214
68,0.9469474969474969,0.9484126984126985,0.9469474969474969,0.9484126984126985,0.9496794871794871,0.9498626373626373,0.9488858363858363,0.9489774114774115
69,0.9583714826344382,0.9598058963559788,0.9583714826344382,0.9598058963559788,0.958188365989135,0.9593328450222792,0.9594396630653726,0.9598821949581884
