group,noisy::lean|qda,noisy::-kpca|qda,noisy::-gmm|qda,noisy::-scaler|qda,noisy::-transductive|qda,noisy::raw|qda,noisy::raw|qda_reg0.5,noisy::raw|lda,noisy::raw|gmm_bayes_k1,noisy::raw|gmm_bayes_k3,noisy::lean|lda,flip_r1::lean|qda,flip_r1::-kpca|qda,flip_r1::-gmm|qda,flip_r1::-scaler|qda,flip_r1::-transductive|qda,flip_r1::raw|qda,flip_r1::raw|qda_reg0.5,flip_r1::raw|lda,flip_r1::raw|gmm_bayes_k1,flip_r1::raw|gmm_bayes_k3,flip_r1::lean|lda,flip_r2::lean|qda,flip_r2::-kpca|qda,flip_r2::-gmm|qda,flip_r2::-scaler|qda,flip_r2::-transductive|qda,flip_r2::raw|qda,flip_r2::raw|qda_reg0.5,flip_r2::raw|lda,flip_r2::raw|gmm_bayes_k1,flip_r2::raw|gmm_bayes_k3,flip_r2::lean|lda,flip_r3::lean|qda,flip_r3::-kpca|qda,flip_r3::-gmm|qda,flip_r3::-scaler|qda,flip_r3::-transductive|qda,flip_r3::raw|qda,flip_r3::raw|qda_reg0.5,flip_r3::raw|lda,flip_r3::raw|gmm_bayes_k1,flip_r3::raw|gmm_bayes_k3,flip_r3::lean|lda
10,0.9398260471503777,0.9365300984206913,0.9194171053635461,0.939833676661326,0.918272678721294,0.9172503242542154,0.9140001525902189,0.7543755245288777,0.9173266193636987,0.9227435721370261,0.9414816510261692,0.9349431601434348,0.9352407110704204,0.9267109178301672,0.9368734264133669,0.9259784847791257,0.9241931792172121,0.9183794918745708,0.7587243457694361,0.9242999923704891,0.9332417792019532,0.9379415579461357,0.9353933012893874,0.9372625314717326,0.9256885633630884,0.9375600823987182,0.9246051728084229,0.9235828183413444,0.9178454261081864,0.7579613946746014,0.9234912642099642,0.9361867704280156,0.9362325474937058,0.9356069275959411,0.9370336461432822,0.9255970092317083,0.9377126726176852,0.9247272449835966,0.9234760051880675,0.917769130998703,0.758236057068742,0.9235980773632411,0.9297016861219196,0.9366750591287099
11,0.958648681640625,0.96697998046875,0.945465087890625,0.9600372314453125,0.9448089599609375,0.94598388671875,0.9412078857421875,0.70538330078125,0.945831298828125,0.942108154296875,0.945709228515625,0.9599456787109375,0.9683609008789062,0.9489288330078125,0.963958740234375,0.94915771484375,0.9490509033203125,0.9428863525390625,0.7093658447265625,0.9490203857421875,0.9495849609375,0.94207763671875,0.9604034423828125,0.969268798828125,0.9514923095703125,0.96343994140625,0.9502105712890625,0.95037841796875,0.943695068359375,0.709930419921875,0.9501953125,0.94647216796875,0.945068359375,0.960601806640625,0.9697189331054688,0.9509124755859375,0.96331787109375,0.949920654296875,0.949554443359375,0.942840576171875,0.7064666748046875,0.9495849609375,0.94781494140625,0.9456329345703125
12,0.937164306640625,0.9449615478515625,0.9267120361328125,0.9420013427734375,0.9236907958984375,0.9298095703125,0.92852783203125,0.8116455078125,0.929595947265625,0.9235382080078125,0.9481658935546875,0.9416275024414062,0.9483566284179688,0.93463134765625,0.94757080078125,0.9300994873046875,0.936553955078125,0.9343414306640625,0.816436767578125,0.936492919921875,0.9369049072265625,0.9450531005859375,0.9416275024414062,0.9483566284179688,0.93463134765625,0.94757080078125,0.9300994873046875,0.936553955078125,0.9343414306640625,0.816436767578125,0.936492919921875,0.9369049072265625,0.9450531005859375,0.9416275024414062,0.9483566284179688,0.93463134765625,0.94757080078125,0.9300994873046875,0.936553955078125,0.9343414306640625,0.816436767578125,0.936492919921875,0.9369049072265625,0.9450531005859375
13,0.9475813222206958,0.9402543084367511,0.9292332585367341,0.9498862786402283,0.9268977728931018,0.9302788844621513,0.9308207781899224,0.8073148020943047,0.9300804445055029,0.9296988292042558,0.9554120682022864,0.9555647143227854,0.9450855581505397,0.9340721405565477,0.9563432095373295,0.9324082978431102,0.9351635603181145,0.9351406634000397,0.8112836012272748,0.9348124742409671,0.9287676878692128,0.9571522339759735,0.9553052159179374,0.9444673413625193,0.9343621681854956,0.9562974157011799,0.9326220024118088,0.935239883378364,0.9352780449084888,0.8108409274778282,0.9348735326891666,0.9318740364213643,0.9572132924241731,0.9552746866938377,0.9445131351986689,0.9343774327975455,0.9563584741493795,0.932591473187709,0.9353925294988628,0.9354001618048877,0.8111004258826762,0.9350872372578651,0.9329807207949811,0.957213292424173
14,0.9444258656857083,0.9398200224971879,0.9327364484844799,0.9483476727571216,0.9313835770528684,0.935396588939896,0.9359742194387863,0.8165871157997142,0.9351685769008604,0.9285562277688262,0.9473292189827623,0.949578937767914,0.948644088407868,0.9381783358161312,0.9495789377679141,0.93676466117411,0.9406864682455234,0.9407320706533305,0.8189888426108899,0.9408992794819566,0.9437342291673,0.9483476727571216,0.9484236767701335,0.947519229015292,0.937691910132855,0.949730945793938,0.9353661873346912,0.9403824521934758,0.9406408658377161,0.8182744048885782,0.9402000425622473,0.9396300124646582,0.9478612470738454,0.9488797008482047,0.9486364880065667,0.9380415285927096,0.9503693795032379,0.9355029945581127,0.9404432554038853,0.9408536770741495,0.8183656097041925,0.9403216489830662,0.9407396710546317,0.9480740583102788
15,0.9445487144274053,0.9463721675440604,0.9222095063706417,0.9449759670405127,0.9159685664148929,0.917814908064393,0.9142442969405661,0.729228656443122,0.9176928358892196,0.9292133974212253,0.9494621194781415,0.9489356832227055,0.9521782253757535,0.9297932402532998,0.9511558709086747,0.9253986419470511,0.9289082169832914,0.9234760051880675,0.7331654840924696,0.9288319218738078,0.9481498435950256,0.9501640344853894,0.9483253223468375,0.9508201724269474,0.9308918898298619,0.9506218051422904,0.925764858472572,0.9308766308079652,0.9248035400930801,0.7325093461509118,0.9309071488517586,0.9393606469825283,0.949584191653315,0.9484626535439078,0.9516517891203174,0.9303425650415809,0.9504386968795301,0.9254749370565347,0.9302510109102007,0.9244831006332493,0.7317311360341803,0.9304188601510645,0.9441672388799877,0.9490653849088273
16,0.9356971612686487,0.9441873959717197,0.9371020202482935,0.9347198680654176,0.9307801548398918,0.9395452532563714,0.9344908149709102,0.8036862278009377,0.9398506573823812,0.9420342968833508,0.9417288927573412,0.9413700429092796,0.947210896819216,0.9413013269809275,0.9427367263731732,0.932948524134561,0.9418663246140455,0.9373921541680028,0.8134286194206484,0.941912135232947,0.9481271091972453,0.9459434696962756,0.9414387588376318,0.9470734649625115,0.9404920060470017,0.9424771328660652,0.933040145372364,0.9417441629636415,0.9371478308671951,0.8143142913860768,0.9416983523447402,0.9497457510650968,0.9460350909340784,0.9414540290439323,0.9472567074381174,0.9404767358407011,0.942446592453464,0.9331164964038664,0.941759433169942,0.9372394521049978,0.8141921297356727,0.9417136225510406,0.9486768366240629,0.945867118664773
17,0.9481876397953244,0.9515733676502129,0.9250084260195484,0.9479425192266445,0.9223427398351565,0.927949872843705,0.924901185770751,0.7606550847197966,0.9279651928792474,0.9283481937678095,0.9438367497012593,0.9495281429052915,0.9438061096301742,0.9271838710665808,0.9501026442381346,0.9251922664460581,0.9247939455219537,0.9218218586267121,0.7677023010693385,0.9246254251309864,0.9295584765756657,0.9386585776879003,0.9496890032784876,0.9437907895946318,0.9267089499647639,0.9498422036339125,0.9230781015411955,0.9236296228207249,0.9201826148236666,0.7662162576217177,0.9234304623586727,0.9191408524067776,0.9381070564083708,0.9500720041670497,0.9441737904831938,0.9271072708888685,0.9498881637405399,0.9232159818610779,0.9235836627140975,0.9203358151790912,0.7651898152403713,0.923629622820725,0.9217452584489996,0.9374176548089591
18,0.9343099107347219,0.9436179140917067,0.9351644159609369,0.9295948729686427,0.9321736476691844,0.9323567559319448,0.9291676203555351,0.8426184481574731,0.9325093461509117,0.9290455481803617,0.9296406500343328,0.9336385137712673,0.9438696879530022,0.9402151522087434,0.9349507896543833,0.9362020294499123,0.9370412756542306,0.931288624399176,0.8475776302738994,0.9373159380483711,0.9319752803845274,0.9314106965743496,0.9336919203479057,0.944106202792401,0.9385824368657969,0.9363241016250858,0.9351491569390402,0.9360799572747387,0.9305104142824445,0.8482490272373541,0.9362172884718089,0.9302204928664073,0.9313801785305561,0.9336308842603189,0.9445410849164568,0.9384145876249332,0.9364003967345693,0.9346608682383459,0.935866330968185,0.9303730830853741,0.8481879911497674,0.9361257343404289,0.9320210574502175,0.9315175097276265
19,0.9662273980999082,0.9636684033098376,0.9573245479619983,0.9645571559914189,0.9582899172540608,0.9565583818571866,0.9519920318725098,0.8013637756665645,0.9565583818571866,0.9511492491572172,0.9634692001225864,0.9669859025436716,0.9640821330064357,0.9568342016549187,0.9679895801409745,0.9568188783328225,0.9575084278271528,0.9524977015016856,0.8040300337113087,0.9573705179282869,0.9563591786699357,0.964357952804168,0.9672770456634998,0.9637833282255593,0.956711615078149,0.9681734600061292,0.9566809684339567,0.957447134538768,0.9525436714679743,0.8043977934416181,0.9574164878945756,0.960833588722035,0.9643119828378793,0.9673383389518849,0.9637067116150783,0.9569414649095924,0.9682653999387066,0.9565890285013792,0.9574471345387678,0.9525743181121668,0.8047502298498315,0.9572326080294208,0.9546736132393504,0.964618449279804
