group,noisy::lean|qda,noisy::-kpca|qda,noisy::-gmm|qda,noisy::-scaler|qda,noisy::-transductive|qda,noisy::raw|qda,noisy::raw|qda_reg0.5,noisy::raw|lda,noisy::raw|gmm_bayes_k1,noisy::raw|gmm_bayes_k3,noisy::lean|lda,flip_r1::lean|qda,flip_r1::-kpca|qda,flip_r1::-gmm|qda,flip_r1::-scaler|qda,flip_r1::-transductive|qda,flip_r1::raw|qda,flip_r1::raw|qda_reg0.5,flip_r1::raw|lda,flip_r1::raw|gmm_bayes_k1,flip_r1::raw|gmm_bayes_k3,flip_r1::lean|lda,flip_r2::lean|qda,flip_r2::-kpca|qda,flip_r2::-gmm|qda,flip_r2::-scaler|qda,flip_r2::-transductive|qda,flip_r2::raw|qda,flip_r2::raw|qda_reg0.5,flip_r2::raw|lda,flip_r2::raw|gmm_bayes_k1,flip_r2::raw|gmm_bayes_k3,flip_r2::lean|lda,flip_r3::lean|qda,flip_r3::-kpca|qda,flip_r3::-gmm|qda,flip_r3::-scaler|qda,flip_r3::-transductive|qda,flip_r3::raw|qda,flip_r3::raw|qda_reg0.5,flip_r3::raw|lda,flip_r3::raw|gmm_bayes_k1,flip_r3::raw|gmm_bayes_k3,flip_r3::lean|lda,oracle::lean|qda,oracle::-kpca|qda,oracle::-gmm|qda,oracle::-scaler|qda,oracle::-transductive|qda,oracle::raw|qda,oracle::raw|qda_reg0.5,oracle::raw|lda,oracle::raw|gmm_bayes_k1,oracle::raw|gmm_bayes_k3,oracle::lean|lda
11,0.9405140007671654,0.9417568085922516,0.9316148830072881,0.9344227080935943,0.9290832374376679,0.9274721902570005,0.925615650172612,0.7732873034138857,0.9274108170310702,0.9250479478327579,0.9340698120444957,0.9396087456846951,0.9387878787878787,0.9293287303413886,0.9294054468738013,0.9290525508247027,0.9264902186421173,0.9223168392788645,0.7808208668968163,0.9266283084004604,0.9205830456463368,0.9356962025316456,0.9413808975834292,0.938849252013809,0.930126582278481,0.9319677790563866,0.9300038358266206,0.9267663981588031,0.9225163022631377,0.7810817031070195,0.9269812044495589,0.9255389336401995,0.936187188339087,0.9413808975834292,0.938849252013809,0.930126582278481,0.9319677790563866,0.9300038358266206,0.9267663981588031,0.9225163022631377,0.7810817031070195,0.9269812044495589,0.9255389336401995,0.936187188339087,0.9413808975834292,0.938849252013809,0.930126582278481,0.9319677790563866,0.9300038358266206,0.9267663981588031,0.9225163022631377,0.7810817031070195,0.9269812044495589,0.9255389336401995,0.936187188339087
12,0.9539224664224665,0.9663690476190476,0.9586385836385836,0.9369200244200244,0.9552960927960928,0.9568833943833943,0.948901098901099,0.8326923076923077,0.957112332112332,0.9553876678876678,0.9440934065934066,0.9490079365079365,0.9667506105006104,0.961019536019536,0.940018315018315,0.9584249084249084,0.9585164835164836,0.9511446886446886,0.8366452991452992,0.9586691086691087,0.9566849816849816,0.9437728937728938,0.949053724053724,0.9655906593406594,0.9613247863247862,0.9396825396825397,0.9585164835164836,0.9586691086691087,0.950656288156288,0.8349969474969475,0.9589133089133088,0.96243894993895,0.9428724053724055,0.9491605616605617,0.9664148351648352,0.961462148962149,0.9397435897435897,0.9588675213675214,0.9587912087912088,0.9507783882783882,0.8356379731379731,0.9589896214896214,0.961996336996337,0.9436050061050061,0.9497100122100122,0.9665674603174603,0.9617368742368743,0.9399725274725275,0.9583485958485958,0.9588522588522588,0.9513736263736263,0.8380647130647131,0.9589438339438339,0.9591727716727717,0.9446886446886447
13,0.9425469160706645,0.9450302585732623,0.926263830307476,0.9331102145607921,0.924552234244147,0.9293660981722599,0.9234519224891498,0.76667277950975,0.929320251849135,0.9254997249220612,0.9318265175132954,0.9450761048963874,0.9479185769301302,0.935219145424537,0.9327587260835014,0.9330185219145424,0.9380004890274467,0.9300537930191332,0.780548933308882,0.9379852069197384,0.9353566843939116,0.9363194571795341,0.9497065835320008,0.9483923222690873,0.9353872486093282,0.9360596613484932,0.933201907207042,0.9383978238278623,0.9301913319885078,0.780396112231799,0.938428388043279,0.9326135460602726,0.9364417140412006,0.9497065835320008,0.9483923222690873,0.9353872486093282,0.9360596613484932,0.933201907207042,0.9383978238278623,0.9301913319885078,0.780396112231799,0.938428388043279,0.9326135460602726,0.9364417140412006,0.9497065835320008,0.9483923222690873,0.9353872486093282,0.9360596613484932,0.933201907207042,0.9383978238278623,0.9301913319885078,0.780396112231799,0.938428388043279,0.9326135460602726,0.9364417140412006
14,0.938673990997177,0.9377126726176852,0.9186846723125047,0.9435873960479133,0.9215228503852902,0.9214160372320135,0.9241931792172122,0.7994659342336157,0.9211718928816662,0.9101548790722515,0.9456473640039674,0.9419928282597084,0.941298542763409,0.9263447013046464,0.9399099717708095,0.9272907606622416,0.9257953765163653,0.9268482490272373,0.8019073777370871,0.9254749370565346,0.9268635080491341,0.9416342412451361,0.9424048218509194,0.9414358739604791,0.927061875333791,0.9400167849240864,0.9276417181658655,0.9269398031586175,0.9276417181658656,0.8025024795910582,0.926665140764477,0.9285420004577706,0.9416189822232395,0.942374303807126,0.941191729610132,0.9270313572899977,0.9399557488364996,0.9273517967498284,0.926710917830167,0.9276264591439689,0.8022888532845045,0.9264362554360265,0.928198672465095,0.9410849164568551,0.9414816510261692,0.940840772106508,0.9264209964141298,0.9399252307927063,0.9282673380636302,0.9260852979324025,0.9283588921950102,0.8049439230945297,0.9259937438010224,0.9254825665674831,0.9420614938582436
15,0.9561767578125,0.95086669921875,0.95184326171875,0.9508514404296875,0.9528350830078125,0.9549407958984375,0.9508209228515625,0.7784271240234375,0.954986572265625,0.953857421875,0.951263427734375,0.9537506103515625,0.9535751342773438,0.9530792236328125,0.9505767822265625,0.95263671875,0.9561920166015625,0.950958251953125,0.7812957763671875,0.95623779296875,0.9547119140625,0.9525146484375,0.9537353515625,0.9531784057617188,0.9528350830078125,0.9506072998046875,0.9524383544921875,0.9558258056640625,0.950775146484375,0.78179931640625,0.9559326171875,0.9517745971679688,0.9528656005859375,0.953765869140625,0.9532699584960938,0.9529571533203125,0.9506072998046875,0.9522705078125,0.955963134765625,0.950592041015625,0.7821197509765625,0.955963134765625,0.9521560668945312,0.9527130126953125,0.9539031982421875,0.9559783935546875,0.953643798828125,0.95074462890625,0.953033447265625,0.9565887451171875,0.9506988525390625,0.7827606201171875,0.9565887451171875,0.9525299072265625,0.952789306640625
16,0.9472987450260176,0.9366926844199572,0.9231251913070095,0.9470003060912151,0.9165748393021121,0.9264615855524948,0.9263085399449035,0.8341903887358433,0.9260483624119987,0.9286654423018059,0.9488368533823079,0.9467554331190694,0.9407254361799816,0.9316345270890727,0.950137741046832,0.9267523722069178,0.9341597796143251,0.9315580042852769,0.8348943985307622,0.9338996020814203,0.9344658708295073,0.9470615243342517,0.9465870829507194,0.939485766758494,0.9309458218549127,0.9495408631772267,0.9263391490664218,0.934006734006734,0.9317110498928681,0.8354606672788492,0.933868992959902,0.9327976737067646,0.9475206611570248,0.9468013468013468,0.9381389654116927,0.9306244260789714,0.9491582491582492,0.9260636669727579,0.9337006427915518,0.9313590449954087,0.8354912764003674,0.9336241199877563,0.9348637894092439,0.9475665748393022,0.9475053565962657,0.938628711355984,0.9321548821548822,0.950275482093664,0.9267217630853996,0.9346342209978573,0.9321548821548822,0.8360728497092134,0.9347107438016528,0.9345423936333027,0.9481787572696664
17,0.9463120079492471,0.9495375678361232,0.9368646334938471,0.9361461438507988,0.9312237254452342,0.9367576243980738,0.9316976228693724,0.7303676526790491,0.9369563555759383,0.9318199189788275,0.9210425743331041,0.945700527401972,0.9527554842161583,0.9410379882289994,0.937109225712757,0.9360697087823894,0.9405335167774975,0.9352900710846136,0.7358404035771612,0.9404417946954062,0.9434380493770542,0.9079110295803715,0.9447298020331728,0.9510815562179928,0.9406405258732706,0.9365130321791638,0.9357181074677062,0.9399526102575861,0.9347244515783841,0.7369104945348928,0.9399678972712681,0.9361002828097531,0.9079874646487808,0.9439730948559198,0.9515172361079263,0.9404265076817243,0.9347244515783841,0.9358404035771613,0.9394863563402889,0.9342199801268822,0.7368799205075288,0.9396392264771077,0.9393946342581977,0.9052816632270886,0.948077658029504,0.9530841550103187,0.9431475961170984,0.9398761751891769,0.9385920660398991,0.9421845142551402,0.9366659023159826,0.7419399220362303,0.9421845142551402,0.9456546663609264,0.9104028128105175
18,0.9378960709759189,0.930001374318567,0.9241223448928794,0.9344144639394079,0.9184418281490982,0.9203200635240583,0.919495472383832,0.8218883137111181,0.9203964145555606,0.9203200635240582,0.9403240337776965,0.9464931971230931,0.9411791653305236,0.9328110922778567,0.9406752485226075,0.9286881365767252,0.9279246262617008,0.9245041000503917,0.8249118145586147,0.9279857070869028,0.9291462427657399,0.9436529387512025,0.9457754974269702,0.93949944263747,0.932444607326645,0.940629437903706,0.928993540702735,0.9276955731671934,0.9242139661306824,0.8255989738421365,0.9278635454364987,0.9318948798998276,0.9437292897827051,0.9459587399025762,0.9425153083818162,0.9323071754699407,0.9407668697604105,0.9290240811153357,0.9276650327545927,0.9245957212881946,0.824698031670408,0.9276344923419916,0.9290698917342374,0.9439888832898132,0.9458976590773742,0.9403240337776964,0.9337120344495854,0.941316597187228,0.9297417808114589,0.9295738085421533,0.9259242292363369,0.8257516759051413,0.9294974575106509,0.9262601737749477,0.9438514514331089
19,0.9266104048712744,0.9251758816976209,0.9258473606299693,0.9315091489004532,0.9215743128786607,0.924611228959055,0.9265646222167961,0.8107345063866803,0.9244738809956201,0.9231614449005754,0.9473194255802951,0.9332336288858027,0.9303187998840173,0.931905931905932,0.9530575182749097,0.9296167991820166,0.9313412791673661,0.9325468890686283,0.8144123796297709,0.9311428876646267,0.9243517939170114,0.9560944343553041,0.933432020388542,0.9305324522715827,0.9321806278328018,0.9536221710134755,0.9297236253757993,0.9313870618218443,0.932516367298976,0.8142597707815099,0.9311428876646267,0.9245807071894028,0.9561707387794344,0.933432020388542,0.9305324522715827,0.9321806278328018,0.9536221710134755,0.9297236253757993,0.9313870618218443,0.932516367298976,0.8142597707815099,0.9311428876646267,0.9245807071894028,0.9561707387794344,0.933432020388542,0.9305324522715827,0.9321806278328018,0.9536221710134755,0.9297236253757993,0.9313870618218443,0.932516367298976,0.8142597707815099,0.9311428876646267,0.9245807071894028,0.9561707387794344
20,0.9463656202786638,0.9484487310574268,0.9445114227722923,0.9440535962275091,0.9437636394158133,0.9447861186991622,0.9428937689807255,0.7510949684862729,0.9445877271964228,0.9331649549040854,0.951027820593038,0.9465411204541639,0.9492117752987318,0.945060814626032,0.9464342942603813,0.945793337097685,0.9443282921543792,0.9458238588673371,0.7526821005081874,0.9442367268454225,0.946678468417599,0.9536069101286492,0.9470065774413601,0.9488912967173837,0.9452897278984235,0.9467089901872511,0.946708990187251,0.9442519877302485,0.9455949455949455,0.7503471851297938,0.9438552047247699,0.9456102064797717,0.9531796053535183,0.9467166206296642,0.9485479268087964,0.9450150319715537,0.9471057731927298,0.9456407282494239,0.9434278999496392,0.9454118149770323,0.7516748821096647,0.9432142475620737,0.9417186808491156,0.9536374318983015,0.9468692294779251,0.951622995101256,0.9481282524760786,0.9470752514230776,0.9492880797228623,0.9468310772658599,0.9472278602713385,0.7550475376562333,0.9467547728417294,0.9525310177484091,0.9538968669403451
