magic,baseline_probe,-kpca,-gmm_score,-hist,-scaler,-gmm_stratify,-repeat,-gmm,-transductive,minimal,minimal_diag,minimal_-transductive,minimal_-gmm_stratify,minimal_reg0.05,minimal_reg0.3,minimal_reg0.5,raw_qda,raw_qda_reg0.5,gmm_bayes_k1,gmm_bayes_k2,gmm_bayes_k3,minimal_k3_s1,minimal_k3_s2,minimal_k4_s1,minimal_k4_s2,minimal_k5_s2,minimal_k5_s3,minimal_k5_s4,minimal_k6_s1,minimal_k6_s2,minimal_k7_s1,minimal_k7_s2,baseline_final,baseline_qda_avg4
17,0.9461194349970892,0.9497579434384288,0.9467169163832461,0.9470692772007232,0.9422128259337562,0.9478812390844747,0.9446410515672395,0.9191714924778626,0.9195544933664246,0.9472148175383768,0.9216533382357447,0.9118485154885559,0.9513895272237032,0.9496736832429451,0.9452461929711677,0.9451542727579129,0.9251616263749731,0.9230781015411955,0.9249011857707511,0.9283788338388945,0.9002052884762693,0.9497656034562001,0.9338021264209333,0.9465483959922787,0.9475748383736251,0.9433158684928149,0.9429175475687104,0.9376474553420964,0.938298556852652,0.9389036982565799,0.9405046419707693,0.9442503906609063,0.9434231087416123,0.9473909979471152
18,0.9430380712596322,0.9360189211871519,0.942244602121004,0.9416189822232395,0.9401998931868467,0.9361715114061189,0.9436408026245516,0.9292439154650187,0.9283894102388036,0.9354543373769741,0.9284657053482872,0.921889066910811,0.9308918898298619,0.9363546196688791,0.9347371633478294,0.9336079957274739,0.9286488136110476,0.926359960326543,0.9283436331731136,0.9212634470130465,0.9137712672617685,0.9301289387350271,0.9350270847638666,0.9379110399023423,0.9372777904936294,0.9444419012741283,0.9323872739757382,0.939177538719768,0.9434348058289463,0.9321736476691844,0.9382925154497597,0.9399786373693446,0.9415274280918593,0.9487754634927901
19,0.9613239350291145,0.9623505976095619,0.9606956788231689,0.9613239350291144,0.9524977015016854,0.96581366840331,0.9640514863622432,0.9498314434569415,0.9559914189396261,0.9618908979466748,0.9503830830524057,0.9502145265093472,0.963561140055164,0.9626723873735824,0.9630707937480846,0.9632087036469505,0.9587189702727552,0.9544284400858106,0.9586270303401778,0.9576616610481152,0.9430278884462152,0.9591710082745939,0.9601593625498008,0.9649095923996323,0.9600827459393196,0.9623352742874656,0.9656604351823477,0.9609255286546123,0.9598069261415875,0.962902237205026,0.9602972724486669,0.9586346920012259,0.9675911737664726,0.9640974563285319
20,0.9515774196012529,0.9428080360553053,0.951546864257887,0.9513406156901689,0.945657321824154,0.9513100603468031,0.9536628217859598,0.9316171415476281,0.9380948743411505,0.9400045833015049,0.9400351386448705,0.9336796272248109,0.9413642960812771,0.9395997250019098,0.94137957375296,0.9420365136353219,0.9343518447788558,0.9379726529676877,0.9339851806584676,0.9320754716981133,0.9326407455503781,0.9481934153235048,0.9475975861278741,0.948987854251012,0.9468184248720495,0.9412344358719733,0.9393629210908258,0.9487434115040868,0.9393781987625085,0.9431594225040103,0.9401420823466503,0.9400045833015048,0.9515239477503628,0.9519211672141163
21,0.938826581216144,0.9395666437781338,0.9384374761577783,0.9389410238803692,0.9192187380788892,0.9422903791866941,0.9391851682307164,0.9247272449835966,0.9240405889982451,0.940161745632105,0.9281605249103532,0.9353170061799039,0.9433127336537728,0.9405966277561608,0.9407797360189211,0.9412680247196155,0.9393453879606317,0.9382009613183795,0.9390249485008011,0.9312962539101243,0.9130388342107272,0.9506904707408255,0.9443427176317998,0.9407797360189212,0.9520332646677347,0.9413519493400474,0.9450141145952544,0.940932326237888,0.9356450751506828,0.9373846036469062,0.9549401083390555,0.9412222476539253,0.9357289997711147,0.9454337376974136
22,0.9498069498069498,0.9370641109771545,0.9502952981213851,0.9500206021945152,0.9473652082347733,0.9508141682054726,0.9501579501579502,0.9237108367543151,0.9225357486227052,0.9368123063775238,0.9265646222167961,0.9190715277671799,0.9370717414195673,0.9370641109771544,0.9389869824652434,0.9409098539533323,0.9243975765714897,0.9227951836647488,0.924306011262533,0.9277702321180582,0.9272208402643186,0.9402536359058099,0.9436491827796175,0.945793337097685,0.9430005951745082,0.9343247821508691,0.9413218978436371,0.9556900209074123,0.9395745265310481,0.9328597372075632,0.9415508111160285,0.944892944892945,0.9545073023333892,0.9507454942237551
23,0.9379136029411765,0.9383195465686274,0.9373008578431372,0.9380361519607843,0.925796568627451,0.936297487745098,0.9408318014705881,0.923544730392157,0.9269148284313725,0.9407475490196078,0.912561274509804,0.9193474264705883,0.9389399509803921,0.9391544117647058,0.9402879901960784,0.9382199754901962,0.9244944852941177,0.9127910539215686,0.9248774509803922,0.9254825367647058,0.9206648284313725,0.9306678921568627,0.9342371323529411,0.9388250612745098,0.9384037990196079,0.9351715686274511,0.9261412377450979,0.936374080882353,0.9348881740196079,0.9312117034313725,0.9309283088235294,0.9325750612745098,0.9416207107843136,0.9386029411764705
24,0.9423599243164062,0.9440078735351562,0.9423370361328125,0.9429779052734375,0.9275665283203125,0.9412841796875,0.9426116943359375,0.9304962158203125,0.92633056640625,0.9442825317382812,0.9388580322265625,0.938507080078125,0.9475631713867188,0.9442291259765625,0.94732666015625,0.9492034912109375,0.93414306640625,0.9338836669921875,0.93402099609375,0.936676025390625,0.9230194091796875,0.9491119384765625,0.936492919921875,0.9352645874023438,0.9404373168945312,0.95281982421875,0.9468460083007812,0.9387359619140625,0.9420242309570312,0.9549789428710938,0.9504013061523438,0.9472198486328125,0.93951416015625,0.9375457763671875
25,0.9516483516483516,0.9589667277167276,0.9516407203907205,0.9516101953601954,0.9397588522588523,0.9530143467643468,0.953434065934066,0.9445665445665445,0.9348443223443224,0.959416971916972,0.9337454212454211,0.9439713064713064,0.9569597069597069,0.9581959706959707,0.9572954822954824,0.9557692307692308,0.9431929181929182,0.9399725274725275,0.943009768009768,0.9378052503052503,0.930448717948718,0.9453067765567765,0.9490766178266178,0.9514957264957266,0.9513278388278388,0.954739010989011,0.9558455433455433,0.957081807081807,0.9524572649572649,0.9474130036630036,0.9528846153846154,0.9546169108669109,0.9472069597069598,0.9471764346764346
26,0.9501516590581819,0.9620392781641595,0.9503967646067587,0.95019761634854,0.9480529427984926,0.9503661264131867,0.9498912344128192,0.9440852967309048,0.9434725328594624,0.9605839639694843,0.9469346487331107,0.9377891479518368,0.9599482214528632,0.9602775820337633,0.9615031097766475,0.9626520420356016,0.9436410429241092,0.9461840129905941,0.9431967891173137,0.9355678789178591,0.9276402463310764,0.9528937773828856,0.9499678298967493,0.9542265388032721,0.9515763350592849,0.9515150586721408,0.9620469377125525,0.9418333895033548,0.9515916541560709,0.9565244033211802,0.9457933760225496,0.9553218542234749,0.9547627071907839,0.9525720763503785
