magic,full_ts_s2,full_ts_s3,full_ts_s4,full_ts_reg0.3_s1,lean_s1,lean_s2,lean_s3,lean_s4,baseline_final,baseline_qda_avg4
211,0.9456198195722854,0.9467341362519271,0.9404222191692997,0.9451847781288639,0.9444062829143198,0.9413991543404924,0.9465433286013035,0.9415975942971408,0.9468333562302514,0.9432767016226283
212,0.9379281869341816,0.9487093222412529,0.9397938585759725,0.9495809885001225,0.9482352581355519,0.9362001468069489,0.9466372033276244,0.9427605823342305,0.9497339124051871,0.9507202715928553
213,0.924016054450837,0.9400705052878966,0.9271369053977749,0.9298762342240603,0.9312039312039312,0.9269614052222748,0.9391090695438521,0.9276634059242757,0.9238024020632717,0.9269079921253836
214,0.944183349609375,0.9449920654296875,0.9427871704101562,0.951507568359375,0.9524459838867188,0.94586181640625,0.9462814331054688,0.9430465698242188,0.9557647705078125,0.9525985717773438
215,0.9522980873441103,0.9503060554716001,0.9444215475263696,0.9506876707728473,0.9515653859657157,0.9526720703393323,0.9515882828837905,0.9442231075697212,0.9522217642838607,0.9498557494161286
216,0.9544793039002422,0.9598180091301817,0.9540963264805907,0.9486810257667209,0.9519516529305432,0.9564018505468918,0.962759275713104,0.9526869695762739,0.9543031342872024,0.9551993014491866
217,0.9279999999999999,0.9245190839694655,0.9232137404580152,0.9261679389312977,0.9270687022900763,0.9293969465648855,0.9268320610687022,0.9248931297709924,0.9219541984732824,0.9229770992366412
218,0.9173253676470587,0.9388939950980393,0.9248544730392158,0.9240732230392156,0.926577818627451,0.9160998774509804,0.9390088848039215,0.9283394607843137,0.9209252450980391,0.9229166666666667
219,0.9499015432522782,0.9522980873441101,0.9547633221901666,0.9514890629054662,0.9539619300575475,0.9478331883195189,0.9569080001831753,0.9536261085924501,0.9495657217871808,0.950741096915022
220,0.9508784784234708,0.9475965868327456,0.9477339683411947,0.9332096899757292,0.9412159789958938,0.9546641022118423,0.9503900108378747,0.9497412648257545,0.933095205385355,0.948191906702691
221,0.9556094732344503,0.9571507049990845,0.9606146615394007,0.9555713239333457,0.9569981077946652,0.9596075199902339,0.9603018372703411,0.9594320332051516,0.9547854483305867,0.9568760300311299
222,0.9520081792101569,0.9577763535372033,0.9529848013184399,0.9530610999206494,0.954709149728377,0.9580433986449368,0.9538164560825245,0.9549914545565527,0.9570133675151072,0.9577992431178661
223,0.9370385122093201,0.9422853028585434,0.9325653359477926,0.9381414871779159,0.9401023315665308,0.9407610527283312,0.9437023193112533,0.934970434143203,0.9441312540212631,0.9434801924078556
224,0.9340565054850768,0.9279432493718208,0.9266409266409265,0.9287093215664645,0.9273610345038916,0.9317736103450388,0.925591407734265,0.9276061776061776,0.9355120426548998,0.9351290065575779
